ID,Feature,WBS,Type,User Story / Description,Story Points,Priority,Status,Notes ,Assignee,Next sprint,Sprint #,Total SP,SP Average
R9,Team Dev Conventions,2.3.1,Techincal Task,"Standardize coding, commits, and branches with techincal documentation.
",2,Complete,Completed,,Michael,FALSE,,,28.33333333
R10,Shared Project Architecture,2.3.2,Technical Task,"Establish Java project structure, dependencies and configuration for a shared dev environment.",5,Complete,Completed,,Jai & Matias,FALSE,,,
R11,Automated Code Verification (CI),2.3.3,Technical Task,Automate code quality and build checks for all PRs to main.,5,Complete,Completed,,Matias,FALSE,,,
R1,Lobby Protocol De-risking,2.2.1,Technical Task,A document mapping the network protocol between the FAF Client and the central FAF Lobby Server. Includes wire protocols (JSON) and transportation (WebSockets).,8,Complete,Completed,,Michael,FALSE,,,
R4,Component Architecture De-risking,2.2.4,Technical Task,"Produce high-level architecture, data flow and sequence diagrams mapping system boundaries and protocols for the mock and real environments",3,Complete,Completed,,Michael,FALSE,,,
R14,Logging Framework,2.3.6,Technical Task,"Implement a logging standard for all components to follow, import necessary logging packages, and create any shared logging classes.",5,Complete,Completed,,Jai,FALSE,,,
R5,Finite State Machine (FSM) De-Risking,2.2.5,User Story,"As a developer, I want each component (client/game) to have a well-defined FSM so that I can simulate all component states accurately.",5,Complete,Completed,,Matias,FALSE,Sprint 1,33,
R65,Checkstyle and Javadoc Conventions,2.3.8,TT,"Align Checkstyle across modules, enforce on build/CI, and document JavaDoc in CONTRIBUTING.",2,Complete,Completed,,Jai,FALSE,,,
R32,Mock client configuration loading,3.1.5.1,Technical Task,"Load runtime configuration (lobby URL, credentials, ICE adapter path, log level, ports) from environment variables, args, or a config file.",5,Complete,Completed,,Michael,FALSE,,,
R66,FSM Failure States & Coupling,2.2.5,TT,"Extend mock client/game state diagrams with failure states, clearer transitions, and coupling / server-alignment",3,Complete,Completed,,Matias,FALSE,,,
R2,GPGNet Framing De-risking,2.2.2,Technical Task,A document mapping the byte-level GPGNet frame structure exchanged between the game and the ICE adapter.,3,Complete,Completed,,Michael,FALSE,,,
R67,OAuth & Test Environment De-risking,2.2.10,TT,"Resolve the OAuth2 auth path for the headless mock client: Target environment, seeded client choice, refresh-token steady-state.",2,Complete,Completed,,Michael,FALSE,,,
R8,Subprocess Orchestration De-risking,2.2.8,Technical Task,"A research document on spawning and managing the ICE adapter and Mock Game subprocesses (crashes, output capture, parameter passing, lifecycle).",3,Complete,Completed,,Michael,FALSE,,,
R31,Mock client CLI interface,3.1.5.2,Technical Task,"Headless CLI entry point with subcommand scaffolding for the in-development tracks (run, launch-ice, launch-game). ",2,Complete,Completed,,Jai,FALSE,,,
